./allInstances/in132322_500.txt , 500 , 1538857
./allInstances/in132324_100.txt , 100 , 29099
./allInstances/in132324_150.txt , 150 , 61344
./allInstances/in132324_200.txt , 200 , 80995
./allInstances/in132324_250.txt , 250 , 104503
./allInstances/in132324_300.txt , 300 , 122932
./allInstances/in132324_350.txt , 350 , 137040
./allInstances/in132324_400.txt , 400 , 269283
./allInstances/in132324_450.txt , 450 , 178034
./allInstances/in132324_50.txt , 50 , 10954
./allInstances/in132324_500.txt , 500 , 247031
./allInstances/in132332_100.txt , 100 , 18076
./allInstances/in132332_150.txt , 150 , 35130
./allInstances/in132332_200.txt , 200 , 48039
./allInstances/in132332_250.txt , 250 , 63321
./allInstances/in132332_300.txt , 300 , 66839
./allInstances/in132332_350.txt , 350 , 84549
./allInstances/in132332_400.txt , 400 , 96851
./allInstances/in132332_450.txt , 450 , 108351
./allInstances/in132332_50.txt , 50 , 4387
./allInstances/in132332_500.txt , 500 , 124019
